#Targets are defined as: Name;Latitude;Longitude;MinElevation;MaxCloudCover;exposure;capture_mode night_imaging. The higher the number; the higher the priority. Default capture mode; valid_until (iso-format)
ifaho;-15.80;50.36;60;1;20;wide;0;
miramar;-23.84;35.57;60;1;20;quaternion;0;
maputo;-25.99;32.99;60;1;20;wide;0;
aaland;60.16;20.16;60;1;40;wide;0;
petersburg;59.93;30.36;60;1;40;wide;0;
turku;60.25;22.07;60;1;40;wide;0;
saaremaa;58.42;22.64;60;1;40;wide;0;
bermuda;32.38;-64.77;60;1;30;wide;0;
bahamas;25.02;-77.35;60;1;30;wide;0;
galapagos;-0.63;-90.37;60;1;30;wide;0;
sthelena;-15.97;-5.71;60;1;30;wide;0;
ascension;-7.94;-14.37;60;1;30;wide;0;
tristandacunha;-37.11;-12.28;60;1;30;wide;0;
easter;-27.14;-109.35;60;1;30;wide;0;
lakebeysehir;37.77;31.52;60;1;30;wide;0;
lakeegirdir;38.04;30.88;60;1;30;wide;0;
lakeurmia;37.70;45.39;60;1;30;wide;0;
delaware;39.00;-75.15;60;1;25;wide;0;
baltimore;38.90;-76.39;60;1;25;wide;0;
princewilliam;60.61;-147.16;60;1;25;wide;0;
kotzbue;66.88;-162.62;60;1;25;wide;0;
barbados;13.16;-59.55;60;1;20;wide;0;
mauritius;-20.45;57.55;60;1;25;wide;0;
iesjavri;69.65;24.18;60;1;25;wide;0;
nanga;-25.57;113.40;60;1;20;wide;0;
chad;13.12;14.52;60;1;20;wide;0;
turkana;4.0664;36.1669;60;10;20;wide;0;
adelaide;-34.95;138.20;60;1;20;wide;0;
wollaston;-55.73;-67.47;60;1;25;wide;0;
manatiales;-52.48;-68.59;60;1;20;wide;0;
chapala;20.24;-103.07;60;1;20;wide;0;
hooghly;21.85;88.06;60;1;20;wide;0;
sittwe;20.13;92.81;60;1;20;wide;0;
tharthar;33.87;43.32;60;1;20;wide;0;
kutch;22.59;68.96;60;10;20;wide;0;
magellan;-53.24;-70.69;60;1;20;wide;0;
kampala;0.18;32.60;60;1;20;wide;0;
mumbai;18.88;72.80;60;1;20;wide;0;
cocibolca;11.56;-85.41;60;1;20;wide;0;
mobile;30.28;-87.99;60;1;25;wide;0;
neworleans;29.78;-90.16;60;10;25;wide;0;
galveston;29.25;-94.77;60;10;20;wide;0;
funchal;32.75;-17.03;60;1;20;wide;0;
panama;9.12;-79.69;60;1;20;wide;0;
corpuschristi;27.72;-97.13;60;10;20;wide;0;
puertodeseado;-47.77;-65.76;60;1;20;wide;0;
portauprince;18.63;-72.50;60;1;25;wide;0;
lakevolta;7.28;0.11;60;1;20;wide;0;
yangon;16.46;96.35;60;1;20;wide;0;
toliara;-23.54;43.69;60;1;20;wide;0;
jaffna;9.45;80.31;60;1;20;wide;0;
nile;23.33;32.93;60;1;20;wide;0;
tripoli;32.95;13.20;60;1;20;wide;0;
mariamadre;21.63;-106.59;60;1;20;wide;0;
nemuro;43.46;145.66;60;1;25;wide;0;
sapporo;43.26;141.25;60;1;25;wide;0;
baikal;53.39;108.01;60;1;25;wide;0;
kyiv;50.45;30.56;60;1;25;wide;0;
atuona;-9.78;-139.10;60;1;25;wide;0;
montenegro;42.26;18.78;60;1;25;quaternion;0;
tunis;36.92;10.37;60;1;25;wide;0;
sitka;56.97;-135.53;60;1;25;wide;0;
haida;54.39;-132.41;60;1;25;quaternion;0;
kinshasa;-4.29;15.28;60;5;20;wide;0;
malabo;8.69;3.51;60;5;20;wide;0;
santarem;-2.2;-54.7;60;5;20;wide;0;
victoriaLand;-77.4351;161.6714;65;2;11;wide;0;
