#Targets are defined as: Name;Latitude;Longitude;MinElevation;MaxCloudCover;Prority;exposure;capture_mode. The higher the number; the higher the priority. Default capture mode
wollaston;-55.73;-67.47;60;1;390;25;wide;0
manatiales;-52.48;-68.59;60;1;380;20;wide;0
chapala;20.24;-103.07;60;1;370;20;wide;0
hooghly;21.85;88.06;60;1;360;20;wide;0
sittwe;20.13;92.81;60;1;350;20;wide;0
tharthar;33.87;43.32;60;1;340;20;wide;0
kutch;22.59;68.96;60;1;330;20;wide;0
magellan;-53.24;-70.69;60;1;320;20;wide;0
kampala;0.18;32.60;60;1;310;20;wide;0
mumbai;18.88;72.80;60;1;300;20;wide;0
cocibolca;11.56;-85.41;60;1;290;20;wide;0
mobile;30.28;-87.99;60;1;280;25;wide;0
neworleans;29.78;-90.16;60;1;270;25;wide;0
galveston;29.25;-94.77;60;1;260;20;wide;0
funchal;32.75;-17.03;60;1;250;20;wide;0
panama;9.12;-79.69;60;1;240;20;wide;0
corpuschristi;27.72;-97.13;60;1;230;20;wide;0
puertodeseado;-47.77;-65.76;60;1;220;20;wide;0
portauprince;18.63;-72.50;60;1;210;25;wide;0
lakevolta;7.28;0.11;60;1;200;20;wide;0
yangon;16.46;96.35;60;1;190;20;wide;0
toliara;-23.54;43.69;60;1;180;20;wide;0
jaffna;9.45;80.31;60;1;170;20;wide;0
nile;23.33;32.93;60;1;160;20;wide;0
tripoli;32.95;13.20;60;1;150;20;wide;0
mariamadre;21.63;-106.59;60;1;140;20;wide;0
turkana;4.13;36.04;60;1;130;20;wide;0
nemuro;43.46;145.66;60;1;120;25;wide;0
sapporo;43.26;141.25;60;1;110;25;wide;0
baikal;53.39;108.01;60;1;100;25;wide;0
kyiv;50.45;30.56;60;1;90;25;wide;0
atuona;-9.78;-139.10;60;1;80;25;wide;0
montenegro;42.26;18.78;60;1;70;25;quaternion;0
tunis;36.92;10.37;60;1;60;25;wide;0
sitka;56.97;-135.53;60;1;50;25;wide;0
haida;54.39;-132.41;60;1;40;25;quaternion;0
kinshasa;-4.29;15.28;60;5;30;20;wide;0
malabo;8.69;3.51;60;5;20;20;wide;0
santarem;-2.2;-54.7;60;5;10;20;wide;0
