name,longitude,latitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
checleset,49.58,-127.5,30,60,2520,35,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 30, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 24, 5, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 55, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 25, 8, tzinfo=datetime.timezone.utc), '', '', '', '']"
mjosa,60.7043,11.0459,40,20,2510,35,wide,0,"[datetime.datetime(2024, 11, 24, 9, 27, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 9, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 30, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 40, 40, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2024, 11, 24, 9, 27, 39, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 20, 11, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 31, 20, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 41, 3, tzinfo=datetime.timezone.utc), '', '', '']"
campbellriver,50.01924387812201,-125.31197202271731,50,30,2500,40,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 31, 14, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 1, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
vigo,42.271441,-8.710142,60,30,2490,30,wide,0,"['', '', '', '', '', '', '']","['', '', '', '', '', '', '']"
griegloppa,70.27,22.34,50,10,2480,35,wide,0,"[datetime.datetime(2024, 11, 24, 9, 24, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 38, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 28, 28, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 9, 25, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 39, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 28, 7, tzinfo=datetime.timezone.utc), '', '', '', '']"
grieghammerfest,70.51,23.53,40,15,2470,35,wide,0,"[datetime.datetime(2024, 11, 24, 9, 23, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 38, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 8, 54, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 27, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 9, 11, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 42, 42, tzinfo=datetime.timezone.utc), '']","[datetime.datetime(2024, 11, 24, 9, 25, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 39, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 8, 55, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 28, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 10, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 19, 43, tzinfo=datetime.timezone.utc), '']"
griegnordkapp,70.93,25.75,60,5,2460,35,wide,0,"[datetime.datetime(2024, 11, 24, 9, 24, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 39, 4, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 24, 9, 24, 39, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 39, 27, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
rogaland,59.17,5.67,60,10,2450,35,wide,0,"[datetime.datetime(2024, 11, 25, 10, 31, 38, tzinfo=datetime.timezone.utc), '', '', '', '', '', '']","[datetime.datetime(2024, 11, 25, 10, 31, 39, tzinfo=datetime.timezone.utc), '', '', '', '', '', '']"
barentssea1,75.0313,26.0859,50,15,2440,45,wide,0,"[datetime.datetime(2024, 11, 24, 9, 23, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 10, 56, 39, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 39, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 26, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 10, 5, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2024, 11, 24, 9, 23, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 10, 56, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 40, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 27, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 10, 58, tzinfo=datetime.timezone.utc), '', '']"
barentssea2,76.1483,29.6704,50,15,2435,45,wide,0,"[datetime.datetime(2024, 11, 24, 9, 22, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 10, 56, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 17, 6, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 40, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 26, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 16, 37, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 10, 16, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2024, 11, 24, 9, 23, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 10, 56, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 17, 7, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 24, 18, 40, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 10, 27, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 16, 37, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 11, 2, tzinfo=datetime.timezone.utc)]"
