name,longitude,latitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
checleset,49.58,-127.5,30,60,2520,35,wide,0,"[datetime.datetime(2025, 1, 20, 19, 11, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 48, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 4, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2025, 1, 20, 19, 14, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 50, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 42, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 18, 5, tzinfo=datetime.timezone.utc), '', '']"
mjosa,60.7043,11.0459,40,20,2510,35,wide,0,"[datetime.datetime(2025, 1, 20, 20, 28, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 56, 39, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 48, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 20, 20, 29, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 57, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 17, 9, tzinfo=datetime.timezone.utc), '', '', '']"
campbellriver,50.01924387812201,-125.31197202271731,50,30,2500,40,wide,0,"[datetime.datetime(2025, 1, 21, 5, 49, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 41, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2025, 1, 21, 5, 49, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 18, tzinfo=datetime.timezone.utc), '', '', '', '']"
vigo,42.271441,-8.710142,60,30,2490,30,wide,0,"[datetime.datetime(2025, 1, 20, 21, 58, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 53, 32, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2025, 1, 20, 21, 58, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 53, 50, tzinfo=datetime.timezone.utc), '', '', '', '']"
griegloppa,70.27,22.34,50,10,2480,35,wide,0,"[datetime.datetime(2025, 1, 20, 18, 57, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 12, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 13, 28, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2025, 1, 20, 18, 58, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 12, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 14, tzinfo=datetime.timezone.utc), '', '']"
grieghammerfest,70.51,23.53,40,15,2470,35,wide,0,"[datetime.datetime(2025, 1, 20, 18, 57, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 11, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 45, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 25, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 13, 1, tzinfo=datetime.timezone.utc), '']","[datetime.datetime(2025, 1, 20, 18, 58, 42, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 12, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 45, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 14, 14, tzinfo=datetime.timezone.utc), '']"
griegnordkapp,70.93,25.75,60,5,2460,35,wide,0,"[datetime.datetime(2025, 1, 20, 18, 57, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 12, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 6, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 20, 18, 58, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 12, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 12, tzinfo=datetime.timezone.utc), '', '', '']"
rogaland,59.17,5.67,60,10,2450,35,wide,0,"[datetime.datetime(2025, 1, 20, 20, 28, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 16, 55, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2025, 1, 20, 20, 28, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 17, 12, tzinfo=datetime.timezone.utc), '', '', '', '']"
barentssea1,75.0313,26.0859,50,15,2440,45,wide,0,"[datetime.datetime(2025, 1, 20, 17, 25, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 20, 18, 58, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 11, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 44, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 12, 7, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 20, 17, 26, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 20, 18, 59, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 10, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 44, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 27, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 12, 57, tzinfo=datetime.timezone.utc)]"
barentssea2,76.1483,29.6704,50,15,2435,45,wide,0,"[datetime.datetime(2025, 1, 20, 17, 25, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 10, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 43, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 16, 54, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 11, 45, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 20, 17, 26, 22, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 9, 10, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 10, 44, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 16, 54, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 27, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 12, 34, tzinfo=datetime.timezone.utc)]"
