Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime
peteriisland,687,3494.105405834,30,3,2360,2024-11-24T09:00:00.0

ingdalen,240,4396.227635792,30,4,2690,2024-11-24T09:00:00.0
vancouver,4009,4396.227635792,30,4,2570,2024-11-24T09:00:00.0
caspiansea2,3965,4396.227635792,30,4,2414,2024-11-24T09:00:00.0
berre,5516,4396.227635792,30,4,2220,2024-11-24T09:00:00.0
lucinda,1788,4396.227635792,30,4,2190,2024-11-24T09:00:00.0
lacrau,4339,4396.227635792,30,4,2250,2024-11-24T09:00:00.0
socheongcho,3397,4396.227635792,30,4,2170,2024-11-24T09:00:00.0
griegclio,1188,4396.227635792,30,4,2610,2024-11-24T09:00:00.0
griegloppa,50,4396.227635792,30,4,2490,2024-11-24T09:00:00.0
barentssea2,3982,4396.227635792,30,4,2450,2024-11-24T09:00:00.0
barentssea5,3792,4396.227635792,30,4,2435,2024-11-24T09:00:00.0
northaustralia2,1975,4396.227635792,30,4,2410,2024-11-24T09:00:00.0
trondheim,3061,4396.227635792,30,4,2720,2024-11-24T09:00:00.0
venice,62,4396.227635792,30,4,2240,2024-11-24T09:00:00.0
moby,1391,4396.227635792,30,4,2310,2024-11-24T09:00:00.0
lakeanoya,55,4396.227635792,30,4,2670,2024-11-24T09:00:00.0
erie,816,4396.227635792,30,4,2280,2024-11-24T09:00:00.0
griegesperanza,2463,4396.227635792,30,4,2620,2024-11-24T09:00:00.0
bouvet,4476,4396.227635792,30,4,2340,2024-11-24T09:00:00.0
barentssea3,3977,4396.227635792,30,4,2430,2024-11-24T09:00:00.0
trondheimnorth,1344,4396.227635792,30,4,2709,2024-11-24T09:00:00.0
svalbardeidembukta,1163,4396.227635792,30,4,2390,2024-11-24T09:00:00.0
thornton,4344,4396.227635792,30,4,2260,2024-11-24T09:00:00.0
barentssea4,971,4396.227635792,30,4,2440,2024-11-24T09:00:00.0
englishatlantic,4349,4396.227635792,30,4,2432,2024-11-24T09:00:00.0
grieghammerfest,2870,4396.227635792,30,4,2480,2024-11-24T09:00:00.0
buenosaires,1103,4396.227635792,30,4,2160,2024-11-24T09:00:00.0
janmayen,3245,4396.227635792,30,4,2320,2024-11-24T09:00:00.0
plocan,259,4396.227635792,30,4,2200,2024-11-24T09:00:00.0
